class,precision,recall,f1,support
0,0.981250,0.601533,0.745843,261.0
1,0.926316,1.000000,0.961749,176.0
2,0.302817,0.558442,0.392694,77.0
3,0.252525,0.757576,0.378788,66.0
4,0.285714,0.086957,0.133333,69.0
5,0.934783,0.710744,0.807512,121.0
6,0.861538,1.000000,0.925620,56.0
7,0.808511,0.226190,0.353488,168.0
8,0.647619,0.686869,0.666667,99.0
9,0.777778,0.471154,0.586826,104.0
10,0.774194,0.549618,0.642857,131.0
11,0.612403,0.759615,0.678112,208.0
12,0.544444,0.388889,0.453704,126.0
13,0.149425,0.116071,0.130653,112.0
14,0.286822,0.740000,0.413408,100.0
15,0.464286,0.367232,0.410095,177.0
16,0.266234,0.216931,0.239067,189.0
17,0.442308,0.190083,0.265896,121.0
18,0.496164,0.994872,0.662116,195.0
19,0.993506,0.993506,0.993506,154.0
20,0.276786,0.397436,0.326316,156.0
21,0.197719,0.276596,0.230599,188.0
22,0.281159,0.769841,0.411890,126.0
23,1.000000,0.529032,0.691983,155.0
24,0.929032,0.738462,0.822857,195.0
25,0.840000,0.075812,0.139073,277.0
26,0.341935,0.262376,0.296919,202.0
